Date,Ward_1_Cases,Ward_2_Cases,Ward_3_Cases,Ward_4_Cases,Ward_5_Cases,Ward_6_Cases,Ward_7_Cases,Ward_8_Cases,Avg_Temp
2020-04-01,10.0,13.0,3.0,11.0,7.0,11.0,6.0,7.0,47.6
2020-04-02,9.0,6.0,4.0,12.0,15.0,18.0,17.0,7.0,54.0
2020-04-03,16.0,13.0,2.0,27.0,24.0,24.0,21.0,18.0,56.8
2020-04-04,7.0,0.0,4.0,10.0,4.0,2.0,13.0,25.0,54.4
2020-04-05,12.0,15.0,6.0,23.0,10.0,31.0,21.0,7.0,57.1
2020-04-06,16.0,10.0,6.0,17.0,14.0,15.0,16.0,20.0,62.3
2020-04-07,25.0,17.0,9.0,38.0,29.0,33.0,32.0,40.0,61.1
2020-04-08,12.0,3.0,9.0,21.0,19.0,6.0,33.0,10.0,66.3
2020-04-09,11.0,8.0,15.0,23.0,12.0,14.0,19.0,14.0,59.6
2020-04-10,19.0,6.0,11.0,21.0,21.0,11.0,28.0,10.0,47.3
2020-04-11,16.0,9.0,4.0,15.0,19.0,15.0,18.0,16.0,51.8
2020-04-12,5.0,20.0,3.0,9.0,7.0,7.0,8.0,10.0,58.6
2020-04-13,7.0,2.0,3.0,14.0,5.0,2.0,4.0,9.0,65.5
2020-04-14,13.0,1.0,12.0,35.0,16.0,8.0,26.0,22.0,51.8
2020-04-15,21.0,10.0,8.0,28.0,33.0,15.0,39.0,34.0,44.1
2020-04-16,18.0,14.0,7.0,34.0,17.0,24.0,21.0,23.0,47.4
2020-04-17,27.0,8.0,29.0,36.0,22.0,16.0,20.0,23.0,50.0
2020-04-18,21.0,3.0,6.0,18.0,13.0,2.0,38.0,15.0,50.4
2020-04-19,14.0,7.0,15.0,22.0,20.0,11.0,14.0,22.0,53.6
2020-04-20,11.0,3.0,0.0,16.0,21.0,8.0,28.0,69.0,56.5
2020-04-21,4.0,6.0,0.0,28.0,25.0,13.0,10.0,13.0,56.8
2020-04-22,17.0,18.0,1.0,19.0,27.0,19.0,16.0,19.0,50.8
2020-04-23,27.0,0.0,25.0,33.0,32.0,3.0,14.0,21.0,54.2
2020-04-24,24.0,4.0,6.0,41.0,25.0,5.0,21.0,20.0,54.7
2020-04-25,17.0,5.0,10.0,27.0,39.0,5.0,27.0,12.0,54.9
2020-04-26,6.0,0.0,0.0,18.0,19.0,0.0,8.0,5.0,53.1
2020-04-27,25.0,5.0,0.0,21.0,16.0,0.0,16.0,25.0,50.3
2020-04-28,28.0,18.0,2.0,25.0,35.0,14.0,36.0,37.0,51.7
2020-04-29,40.0,7.0,12.0,47.0,24.0,17.0,29.0,35.0,62.2
2020-04-30,50.0,26.0,12.0,75.0,53.0,18.0,42.0,45.0,60.9
2020-05-01,28.0,1.0,8.0,40.0,23.0,8.0,10.0,15.0,58.6
2020-05-02,28.0,7.0,9.0,42.0,46.0,13.0,40.0,21.0,61.6
2020-05-03,19.0,8.0,3.0,49.0,31.0,10.0,18.0,24.0,66.1
2020-05-04,26.0,12.0,3.0,29.0,20.0,26.0,22.0,14.0,66.3
2020-05-05,16.0,7.0,9.0,35.0,27.0,8.0,11.0,24.0,53.6
2020-05-06,36.0,5.0,6.0,45.0,41.0,15.0,21.0,24.0,52.0
2020-05-07,28.0,15.0,7.0,61.0,43.0,22.0,37.0,31.0,55.5
2020-05-08,35.0,5.0,4.0,53.0,41.0,14.0,22.0,32.0,55.8
2020-05-09,26.0,6.0,4.0,38.0,22.0,12.0,28.0,26.0,44.3
2020-05-10,16.0,9.0,3.0,34.0,15.0,6.0,20.0,11.0,53.0
2020-05-11,21.0,8.0,3.0,23.0,9.0,8.0,13.0,10.0,54.7
2020-05-12,8.0,3.0,4.0,30.0,15.0,6.0,17.0,16.0,53.5
2020-05-13,28.0,0.0,5.0,49.0,22.0,8.0,19.0,12.0,58.3
2020-05-14,16.0,5.0,2.0,32.0,16.0,11.0,10.0,40.0,61.4
2020-05-15,27.0,7.0,4.0,41.0,17.0,9.0,27.0,33.0,73.5
2020-05-16,11.0,4.0,6.0,13.0,24.0,2.0,14.0,5.0,73.9
2020-05-17,23.0,7.0,3.0,34.0,22.0,6.0,28.0,25.0,64.8
2020-05-18,38.0,13.0,3.0,31.0,24.0,5.0,22.0,14.0,61.9
2020-05-19,9.0,3.0,2.0,41.0,20.0,5.0,11.0,24.0,61.8
2020-05-20,39.0,9.0,3.0,73.0,27.0,18.0,43.0,23.0,57.1
2020-05-21,24.0,9.0,8.0,15.0,21.0,2.0,13.0,11.0,60.3
2020-05-22,10.0,8.0,3.0,9.0,17.0,5.0,12.0,8.0,66.0
2020-05-23,20.0,14.0,8.0,41.0,28.0,5.0,9.0,16.0,72.1
2020-05-24,19.0,8.0,4.0,30.0,16.0,13.0,12.0,11.0,64.7
2020-05-25,22.0,18.0,2.0,22.0,17.0,4.0,14.0,9.0,67.3
2020-05-26,12.0,1.0,1.0,12.0,12.0,4.0,10.0,18.0,70.7
2020-05-27,10.0,2.0,2.0,14.0,12.0,9.0,15.0,17.0,72.4
2020-05-28,10.0,1.0,3.0,10.0,4.0,7.0,5.0,5.0,75.1
2020-05-29,23.0,0.0,0.0,33.0,20.0,21.0,45.0,46.0,78.3
2020-05-30,8.0,0.0,1.0,12.0,13.0,5.0,16.0,17.0,75.6
2020-05-31,8.0,2.0,2.0,6.0,12.0,2.0,11.0,10.0,68.6
2020-06-01,6.0,0.0,1.0,6.0,3.0,1.0,2.0,9.0,65.7
2020-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.3
2020-06-03,45.0,8.0,8.0,61.0,21.0,16.0,19.0,45.0,80.6
2020-06-04,14.0,3.0,4.0,13.0,14.0,8.0,8.0,17.0,79.1
2020-06-05,11.0,1.0,3.0,17.0,6.0,5.0,10.0,14.0,75.0
2020-06-06,7.0,2.0,2.0,12.0,8.0,8.0,10.0,13.0,80.5
2020-06-07,15.0,0.0,1.0,9.0,5.0,3.0,6.0,12.0,75.7
2020-06-08,8.0,4.0,5.0,20.0,9.0,7.0,12.0,15.0,73.7
2020-06-09,9.0,1.0,3.0,15.0,5.0,12.0,8.0,8.0,78.4
2020-06-10,2.0,2.0,6.0,10.0,10.0,4.0,4.0,11.0,82.6
2020-06-11,18.0,2.0,1.0,10.0,11.0,7.0,8.0,8.0,78.8
2020-06-12,12.0,1.0,1.0,12.0,3.0,5.0,12.0,6.0,79.1
2020-06-13,6.0,4.0,0.0,16.0,6.0,2.0,12.0,13.0,72.8
2020-06-14,5.0,3.0,1.0,5.0,4.0,4.0,2.0,8.0,70.2
2020-06-15,5.0,4.0,0.0,12.0,5.0,4.0,4.0,2.0,70.1
2020-06-16,3.0,1.0,2.0,8.0,3.0,5.0,2.0,4.0,70.1
2020-06-17,6.0,1.0,5.0,6.0,9.0,6.0,8.0,12.0,68.6
2020-06-18,5.0,4.0,3.0,13.0,4.0,4.0,9.0,6.0,71.9
2020-06-19,5.0,1.0,0.0,9.0,5.0,2.0,3.0,6.0,75.3
2020-06-20,12.0,0.0,1.0,8.0,6.0,5.0,1.0,2.0,73.0
2020-06-21,4.0,2.0,1.0,5.0,4.0,12.0,3.0,6.0,75.8
2020-06-22,6.0,2.0,2.0,10.0,4.0,2.0,7.0,3.0,78.6
2020-06-23,6.0,4.0,0.0,4.0,6.0,3.0,7.0,4.0,78.6
2020-06-24,1.0,8.0,1.0,6.0,2.0,5.0,3.0,5.0,79.7
2020-06-25,7.0,3.0,0.0,3.0,3.0,4.0,1.0,4.0,77.3
2020-06-26,4.0,2.0,2.0,7.0,8.0,8.0,2.0,1.0,79.3
2020-06-27,2.0,3.0,5.0,5.0,6.0,5.0,4.0,2.0,82.1
2020-06-28,9.0,0.0,3.0,7.0,1.0,7.0,7.0,9.0,82.5
2020-06-29,4.0,3.0,1.0,6.0,5.0,8.0,5.0,3.0,84.0
2020-06-30,5.0,7.0,0.0,4.0,2.0,7.0,7.0,5.0,82.6
2020-07-01,3.0,6.0,0.0,3.0,1.0,3.0,3.0,5.0,78.8
2020-07-02,7.0,7.0,2.0,9.0,6.0,4.0,2.0,6.0,82.6
2020-07-03,1.0,1.0,2.0,0.0,3.0,1.0,3.0,0.0,87.2
2020-07-04,8.0,5.0,1.0,3.0,2.0,6.0,5.0,4.0,85.1
2020-07-05,6.0,2.0,3.0,6.0,3.0,3.0,5.0,5.0,82.7
2020-07-06,6.0,0.0,3.0,9.0,11.0,6.0,11.0,1.0,80.5
2020-07-07,6.0,10.0,8.0,7.0,4.0,11.0,14.0,18.0,77.2
2020-07-08,6.0,4.0,1.0,7.0,6.0,1.0,6.0,4.0,82.7
2020-07-09,4.0,8.0,6.0,7.0,5.0,12.0,7.0,11.0,81.6
2020-07-10,10.0,5.0,3.0,9.0,6.0,7.0,9.0,10.0,81.8
2020-07-11,5.0,3.0,1.0,7.0,7.0,8.0,4.0,11.0,83.1
2020-07-12,8.0,4.0,2.0,7.0,9.0,4.0,12.0,7.0,81.3
2020-07-13,7.0,4.0,1.0,5.0,7.0,6.0,9.0,6.0,80.4
2020-07-14,9.0,13.0,4.0,8.0,13.0,12.0,12.0,8.0,81.2
2020-07-15,7.0,7.0,1.0,6.0,9.0,7.0,8.0,6.0,81.7
2020-07-16,6.0,8.0,2.0,4.0,8.0,4.0,4.0,3.0,79.8
2020-07-17,7.0,6.0,4.0,4.0,13.0,17.0,17.0,11.0,83.8
2020-07-18,7.0,9.0,7.0,7.0,9.0,15.0,10.0,3.0,88.4
2020-07-19,10.0,8.0,2.0,10.0,17.0,12.0,6.0,8.0,88.8
2020-07-20,4.0,0.0,6.0,18.0,15.0,5.0,17.0,12.0,86.0
2020-07-21,8.0,0.0,3.0,15.0,15.0,7.0,19.0,25.0,82.5
2020-07-22,10.0,4.0,0.0,4.0,9.0,3.0,4.0,2.0,78.2
2020-07-23,11.0,10.0,0.0,9.0,12.0,7.0,13.0,14.0,80.0
2020-07-24,7.0,4.0,2.0,13.0,10.0,7.0,10.0,13.0,78.2
2020-07-25,10.0,9.0,4.0,10.0,5.0,4.0,7.0,10.0,82.4
2020-07-26,7.0,5.0,4.0,22.0,10.0,8.0,7.0,15.0,86.8
2020-07-27,11.0,9.0,6.0,10.0,9.0,10.0,22.0,9.0,87.9
2020-07-28,8.0,1.0,0.0,5.0,12.0,5.0,10.0,11.0,85.5
2020-07-29,3.0,4.0,1.0,14.0,8.0,4.0,14.0,8.0,84.1
2020-07-30,4.0,0.0,0.0,12.0,10.0,13.0,18.0,13.0,83.0
2020-07-31,8.0,4.0,1.0,19.0,13.0,9.0,12.0,12.0,76.3
2020-08-01,6.0,3.0,4.0,12.0,13.0,3.0,12.0,12.0,81.4
2020-08-02,1.0,3.0,2.0,9.0,4.0,2.0,13.0,6.0,83.5
2020-08-03,8.0,3.0,5.0,18.0,13.0,11.0,7.0,19.0,77.8
2020-08-04,1.0,3.0,1.0,10.0,6.0,9.0,6.0,10.0,75.7
2020-08-05,5.0,5.0,5.0,17.0,12.0,7.0,9.0,15.0,79.8
2020-08-06,6.0,6.0,2.0,6.0,12.0,9.0,22.0,10.0,77.9
2020-08-07,3.0,5.0,2.0,16.0,11.0,10.0,6.0,11.0,77.2
2020-08-08,13.0,1.0,6.0,12.0,23.0,17.0,12.0,13.0,76.8
2020-08-09,6.0,5.0,5.0,4.0,14.0,5.0,6.0,6.0,81.6
2020-08-10,5.0,4.0,5.0,15.0,17.0,16.0,16.0,9.0,82.9
2020-08-11,5.0,3.0,3.0,11.0,13.0,8.0,10.0,10.0,82.9
2020-08-12,3.0,2.0,6.0,5.0,16.0,12.0,13.0,5.0,81.1
2020-08-13,7.0,0.0,7.0,19.0,15.0,9.0,19.0,18.0,77.7
2020-08-14,4.0,2.0,1.0,8.0,2.0,6.0,13.0,4.0,78.5
2020-08-15,6.0,4.0,2.0,8.0,13.0,5.0,11.0,10.0,76.3
2020-08-16,2.0,6.0,0.0,7.0,17.0,4.0,8.0,9.0,70.0
2020-08-17,3.0,4.0,3.0,9.0,8.0,7.0,8.0,10.0,73.7
2020-08-18,5.0,1.0,0.0,6.0,3.0,0.0,8.0,5.0,77.2
2020-08-19,9.0,6.0,6.0,8.0,4.0,8.0,8.0,6.0,75.7
2020-08-20,6.0,3.0,3.0,11.0,10.0,2.0,13.0,11.0,75.8
2020-08-21,5.0,4.0,3.0,11.0,9.0,8.0,10.0,12.0,76.5
2020-08-22,5.0,9.0,1.0,3.0,13.0,1.0,12.0,11.0,77.6
2020-08-23,3.0,5.0,2.0,14.0,3.0,11.0,8.0,3.0,80.8
2020-08-24,2.0,4.0,3.0,9.0,5.0,9.0,7.0,5.0,80.7
2020-08-25,7.0,2.0,1.0,5.0,3.0,10.0,3.0,6.0,81.9
2020-08-26,19.0,10.0,7.0,6.0,13.0,3.0,2.0,10.0,79.8
2020-08-27,0.0,1.0,6.0,6.0,11.0,9.0,10.0,12.0,84.0
2020-08-28,6.0,7.0,3.0,10.0,17.0,6.0,13.0,9.0,79.7
2020-08-29,0.0,1.0,4.0,1.0,6.0,6.0,7.0,9.0,77.5
2020-08-30,0.0,2.0,1.0,4.0,7.0,5.0,10.0,3.0,76.3
2020-08-31,5.0,8.0,2.0,13.0,4.0,9.0,4.0,9.0,71.8
2020-09-01,2.0,2.0,2.0,1.0,2.0,6.0,3.0,11.0,74.6
2020-09-02,2.0,8.0,2.0,11.0,5.0,9.0,12.0,7.0,78.7
2020-09-03,4.0,9.0,6.0,6.0,13.0,3.0,3.0,9.0,81.6
2020-09-04,6.0,5.0,2.0,6.0,8.0,7.0,7.0,9.0,80.2
2020-09-05,4.0,0.0,3.0,10.0,8.0,4.0,8.0,4.0,73.3
2020-09-06,3.0,2.0,0.0,3.0,8.0,8.0,2.0,11.0,73.3
2020-09-07,5.0,18.0,0.0,3.0,5.0,3.0,5.0,8.0,73.8
2020-09-08,5.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,76.5
2020-09-09,4.0,1.0,5.0,1.0,6.0,2.0,2.0,3.0,76.0
2020-09-10,11.0,4.0,5.0,12.0,19.0,8.0,8.0,14.0,77.5
2020-09-11,10.0,9.0,7.0,11.0,9.0,4.0,0.0,9.0,76.8
2020-09-12,1.0,4.0,2.0,6.0,10.0,6.0,11.0,0.0,71.3
2020-09-13,2.0,5.0,1.0,7.0,10.0,3.0,2.0,0.0,72.0
2020-09-14,6.0,4.0,5.0,7.0,11.0,15.0,10.0,6.0,73.7
2020-09-15,3.0,9.0,6.0,9.0,10.0,7.0,3.0,8.0,60.4
2020-09-16,11.0,7.0,4.0,2.0,7.0,2.0,6.0,7.0,64.9
2020-09-17,9.0,4.0,7.0,8.0,18.0,3.0,10.0,2.0,69.4
2020-09-18,6.0,10.0,2.0,12.0,10.0,5.0,0.0,3.0,68.7
2020-09-19,2.0,4.0,12.0,7.0,8.0,6.0,8.0,6.0,58.3
2020-09-20,5.0,0.0,0.0,2.0,7.0,2.0,6.0,2.0,58.1
2020-09-21,5.0,2.0,4.0,6.0,7.0,8.0,6.0,4.0,58.2
2020-09-22,0.0,3.0,2.0,7.0,9.0,1.0,1.0,3.0,60.3
2020-09-23,6.0,5.0,4.0,10.0,12.0,5.0,4.0,5.0,68.3
2020-09-24,3.0,10.0,3.0,7.0,13.0,10.0,4.0,5.0,66.5
2020-09-25,13.0,4.0,2.0,9.0,11.0,6.0,3.0,5.0,64.7
2020-09-26,5.0,1.0,2.0,0.0,11.0,2.0,3.0,6.0,66.3
2020-09-27,1.0,1.0,1.0,0.0,2.0,3.0,4.0,1.0,70.4
2020-09-28,4.0,3.0,2.0,4.0,6.0,5.0,6.0,6.0,72.0
2020-09-29,5.0,4.0,3.0,3.0,3.0,2.0,4.0,1.0,70.5
2020-09-30,3.0,3.0,3.0,2.0,10.0,6.0,1.0,4.0,61.7
2020-10-01,0.0,6.0,4.0,10.0,23.0,8.0,9.0,4.0,64.8
2020-10-02,6.0,2.0,3.0,6.0,18.0,3.0,4.0,7.0,60.5
2020-10-03,0.0,11.0,3.0,11.0,18.0,3.0,0.0,2.0,58.4
2020-10-04,7.0,0.0,0.0,0.0,12.0,3.0,2.0,1.0,59.4
2020-10-05,20.0,0.0,4.0,16.0,20.0,16.0,12.0,16.0,61.5
2020-10-06,8.0,0.0,0.0,9.0,12.0,5.0,7.0,2.0,60.9
2020-10-07,0.0,9.0,6.0,5.0,20.0,11.0,5.0,8.0,68.3
2020-10-08,7.0,7.0,4.0,15.0,23.0,6.0,8.0,11.0,63.9
2020-10-09,12.0,7.0,4.0,13.0,7.0,7.0,13.0,5.0,60.7
2020-10-10,15.0,2.0,0.0,13.0,10.0,5.0,6.0,12.0,65.8
2020-10-11,3.0,10.0,3.0,10.0,7.0,4.0,0.0,1.0,67.5
2020-10-12,3.0,0.0,0.0,12.0,7.0,5.0,4.0,12.0,62.2
2020-10-13,9.0,1.0,6.0,12.0,5.0,9.0,14.0,4.0,61.3
2020-10-14,3.0,1.0,2.0,6.0,8.0,3.0,1.0,8.0,60.8
2020-10-15,16.0,3.0,9.0,6.0,22.0,7.0,16.0,2.0,65.9
2020-10-16,27.0,4.0,2.0,10.0,10.0,8.0,10.0,7.0,59.5
2020-10-17,0.0,5.0,0.0,11.0,9.0,8.0,1.0,1.0,54.1
2020-10-18,7.0,0.0,2.0,8.0,3.0,3.0,0.0,2.0,57.0
2020-10-19,4.0,7.0,4.0,8.0,10.0,9.0,5.0,3.0,62.9
2020-10-20,2.0,1.0,6.0,8.0,5.0,6.0,3.0,5.0,63.1
2020-10-21,12.0,7.0,1.0,2.0,7.0,7.0,4.0,5.0,66.6
2020-10-22,8.0,5.0,3.0,17.0,13.0,10.0,6.0,9.0,66.8
2020-10-23,12.0,5.0,6.0,11.0,15.0,19.0,11.0,12.0,67.2
2020-10-24,11.0,10.0,5.0,10.0,7.0,7.0,10.0,1.0,65.7
2020-10-25,6.0,2.0,1.0,10.0,3.0,7.0,5.0,10.0,49.1
2020-10-26,15.0,13.0,6.0,11.0,12.0,20.0,6.0,11.0,54.7
2020-10-27,12.0,8.0,4.0,9.0,10.0,10.0,7.0,5.0,61.2
2020-10-28,22.0,6.0,2.0,14.0,13.0,19.0,13.0,13.0,65.3
2020-10-29,17.0,7.0,5.0,9.0,5.0,13.0,3.0,10.0,58.8
2020-10-30,15.0,12.0,7.0,15.0,9.0,17.0,17.0,24.0,51.0
2020-10-31,21.0,8.0,3.0,15.0,18.0,10.0,12.0,12.0,47.2
2020-11-01,9.0,8.0,2.0,21.0,8.0,4.0,11.0,7.0,53.3
2020-11-02,14.0,8.0,11.0,11.0,8.0,15.0,12.0,4.0,43.8
2020-11-03,11.0,15.0,5.0,10.0,6.0,14.0,7.0,8.0,52.1
2020-11-04,5.0,10.0,2.0,17.0,13.0,8.0,10.0,13.0,53.0
2020-11-05,30.0,17.0,8.0,13.0,13.0,17.0,7.0,6.0,56.3
2020-11-06,1.0,17.0,8.0,19.0,16.0,14.0,9.0,14.0,56.8
2020-11-07,18.0,19.0,11.0,11.0,11.0,17.0,9.0,11.0,58.5
2020-11-08,10.0,6.0,8.0,17.0,12.0,17.0,5.0,11.0,58.5
2020-11-09,7.0,12.0,9.0,13.0,5.0,22.0,6.0,11.0,60.3
2020-11-10,13.0,16.0,23.0,34.0,30.0,35.0,25.0,25.0,63.7
2020-11-11,13.0,16.0,5.0,13.0,24.0,30.0,13.0,13.0,66.9
2020-11-12,16.0,21.0,12.0,23.0,14.0,27.0,21.0,19.0,59.9
2020-11-13,17.0,24.0,6.0,19.0,26.0,41.0,21.0,22.0,54.0
2020-11-14,21.0,19.0,8.0,30.0,21.0,33.0,14.0,12.0,52.0
2020-11-15,8.0,9.0,3.0,10.0,16.0,21.0,12.0,8.0,58.2
2020-11-16,30.0,26.0,15.0,32.0,45.0,43.0,23.0,29.0,54.5
2020-11-17,21.0,17.0,9.0,19.0,26.0,28.0,21.0,11.0,46.4
2020-11-18,21.0,22.0,15.0,31.0,26.0,40.0,24.0,32.0,39.6
2020-11-19,15.0,15.0,1.0,15.0,21.0,21.0,15.0,17.0,43.4
2020-11-20,20.0,17.0,6.0,22.0,19.0,31.0,26.0,12.0,51.3
2020-11-21,16.0,15.0,14.0,26.0,25.0,28.0,31.0,27.0,55.2
2020-11-22,21.0,22.0,17.0,11.0,19.0,20.0,11.0,13.0,55.1
2020-11-23,11.0,19.0,8.0,13.0,18.0,19.0,19.0,8.0,52.0
2020-11-24,11.0,8.0,5.0,15.0,14.0,24.0,13.0,16.0,46.2
2020-11-25,32.0,21.0,7.0,24.0,20.0,36.0,38.0,52.0,50.7
2020-11-26,26.0,23.0,10.0,30.0,22.0,27.0,32.0,23.0,58.9
2020-11-27,39.0,40.0,30.0,55.0,57.0,41.0,52.0,36.0,56.5
2020-11-28,10.0,11.0,11.0,30.0,17.0,21.0,21.0,15.0,52.5
2020-11-29,17.0,6.0,9.0,16.0,13.0,12.0,15.0,13.0,48.3
2020-11-30,17.0,10.0,13.0,13.0,17.0,24.0,26.0,13.0,58.2
2020-12-01,17.0,16.0,12.0,24.0,19.0,24.0,21.0,19.0,44.3
2020-12-02,31.0,24.0,13.0,42.0,56.0,57.0,50.0,42.0,42.3
2020-12-03,40.0,30.0,11.0,33.0,50.0,51.0,49.0,32.0,44.1
2020-12-04,47.0,39.0,27.0,55.0,63.0,57.0,56.0,45.0,49.3
2020-12-05,25.0,16.0,14.0,39.0,38.0,43.0,43.0,33.0,46.4
2020-12-06,25.0,6.0,15.0,36.0,28.0,20.0,28.0,29.0,40.6
2020-12-07,35.0,18.0,12.0,31.0,41.0,40.0,46.0,42.0,36.3
2020-12-08,36.0,7.0,21.0,45.0,36.0,31.0,40.0,47.0,38.5
2020-12-09,18.0,13.0,6.0,22.0,43.0,46.0,41.0,43.0,36.9
2020-12-10,31.0,33.0,12.0,34.0,34.0,29.0,28.0,49.0,40.8
2020-12-11,31.0,24.0,20.0,51.0,27.0,33.0,36.0,57.0,47.2
2020-12-12,33.0,3.0,11.0,28.0,22.0,48.0,56.0,27.0,49.1
2020-12-13,23.0,12.0,13.0,30.0,20.0,17.0,15.0,37.0,53.6
2020-12-14,42.0,15.0,17.0,44.0,57.0,34.0,36.0,46.0,41.7
2020-12-15,30.0,9.0,9.0,40.0,33.0,36.0,42.0,43.0,36.7
2020-12-16,31.0,21.0,4.0,26.0,36.0,25.0,26.0,42.0,33.9
2020-12-17,32.0,39.0,12.0,34.0,37.0,46.0,16.0,48.0,33.2
2020-12-18,36.0,15.0,6.0,29.0,39.0,39.0,32.0,37.0,34.8
2020-12-19,26.0,18.0,11.0,40.0,45.0,46.0,36.0,23.0,33.0
2020-12-20,19.0,0.0,7.0,18.0,24.0,14.0,32.0,26.0,40.6
2020-12-21,17.0,17.0,9.0,21.0,11.0,18.0,22.0,36.0,42.1
2020-12-22,42.0,52.0,22.0,41.0,41.0,49.0,24.0,45.0,44.8
2020-12-23,31.0,4.0,11.0,33.0,32.0,23.0,36.0,35.0,40.7
2020-12-24,27.0,36.0,20.0,38.0,49.0,27.0,24.0,42.0,56.5
2020-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
2020-12-26,63.0,36.0,17.0,80.0,90.0,57.0,68.0,75.0,29.6
2020-12-27,12.0,0.0,13.0,10.0,24.0,31.0,12.0,36.0,34.6
2020-12-28,18.0,18.0,10.0,24.0,45.0,6.0,36.0,29.0,43.3
2020-12-29,25.0,19.0,15.0,29.0,32.0,38.0,37.0,23.0,38.6
2020-12-30,25.0,8.0,12.0,25.0,29.0,29.0,46.0,38.0,40.6
2020-12-31,30.0,43.0,24.0,40.0,35.0,47.0,9.0,41.0,47.4
2021-01-01,31.0,22.0,25.0,45.0,27.0,31.0,36.0,36.0,37.4
2021-01-02,31.0,28.0,12.0,42.0,30.0,37.0,43.0,28.0,44.1
2021-01-03,20.0,1.0,7.0,24.0,20.0,41.0,11.0,15.0,40.4
2021-01-04,24.0,28.0,14.0,39.0,35.0,27.0,43.0,54.0,40.5
2021-01-05,36.0,14.0,14.0,47.0,54.0,76.0,30.0,28.0,40.8
2021-01-06,24.0,22.0,21.0,37.0,42.0,45.0,29.0,41.0,40.6
2021-01-07,39.0,32.0,20.0,64.0,46.0,59.0,44.0,48.0,39.8
2021-01-08,40.0,29.0,17.0,42.0,66.0,54.0,52.0,38.0,35.5
2021-01-09,37.0,26.0,24.0,55.0,60.0,64.0,24.0,31.0,38.8
2021-01-10,30.0,13.0,9.0,30.0,34.0,26.0,24.0,37.0,40.8
2021-01-11,49.0,26.0,23.0,77.0,62.0,50.0,71.0,59.0,36.7
2021-01-12,18.0,21.0,17.0,27.0,16.0,26.0,30.0,19.0,37.6
2021-01-13,30.0,25.0,16.0,36.0,34.0,30.0,20.0,25.0,39.7
2021-01-14,32.0,28.0,15.0,45.0,41.0,56.0,40.0,33.0,42.1
2021-01-15,43.0,37.0,35.0,38.0,59.0,56.0,37.0,70.0,43.9
2021-01-16,37.0,22.0,22.0,54.0,47.0,56.0,29.0,35.0,42.3
2021-01-17,12.0,7.0,9.0,30.0,26.0,27.0,37.0,31.0,40.8
2021-01-18,28.0,3.0,19.0,27.0,31.0,35.0,48.0,30.0,40.0
